,animeID,name,title_english,type,source,genre,episodes,score,scored_by,rating,male_fan,female_fan,fan_base
7336,16914.0,Chu Shite Agechau: Oshikake Oneesan no Seikou Chiryou,,OVA,Visual novel,Hentai,2.0,7.02,2246.0,7.019672665371602,0.0,0.0,0.0
7337,16916.0,Kuroko no Basket: Tip Off,Kuroko's Basketball Special,Special,Manga,"Sports, Comedy, School, Shounen",1.0,8.0,33183.0,7.999948302769105,0.0,0.0,0.0
7338,16918.0,Gin no Saji,Silver Spoon,TV,Manga,"Comedy, School, Shounen, Slice of Life",11.0,8.15,81948.0,8.149977235586645,133.0,80.0,53.0
7339,16928.0,Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,,OVA,Visual novel,"Comedy, Fantasy, Shoujo",1.0,6.84,1940.0,6.8397137965430135,0.0,0.0,0.0
7340,16934.0,Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,"Love, Chunibyo & Other Delusions!: Sparkling... Slapstick Noel",Special,Light novel,"Slice of Life, Comedy, Drama, Romance, School",1.0,7.57,66170.0,7.569980572744707,0.0,0.0,0.0
7341,16936.0,"Boku no Imouto wa ""Osaka Okan"": Haishin Gentei Osaka Okan.",,ONA,Original,Comedy,1.0,5.71,1696.0,5.710338526275774,0.0,0.0,0.0
7342,16954.0,Milky Passion: Dougenzaka - Ai no Shiro,,OVA,Manga,"Romance, Josei",1.0,5.66,66.0,5.669320583432666,0.0,0.0,0.0
7343,16964.0,Inazuma Eleven Go: TCG CM NG-shuu,,Special,Original,Comedy,1.0,6.93,558.0,6.928845221985669,0.0,0.0,0.0
7344,16970.0,Nyuuin Bokki Monogatari: Odaijini!,,OVA,Original,"Comedy, Ecchi, Seinen",2.0,6.0,32.0,6.008620578484504,0.0,0.0,0.0
7345,16982.0,Hayate no Gotoku! Cuties,Hayate the Combat Butler! Cuties,TV,Manga,"Comedy, Harem, Parody, Romance, Shounen",12.0,7.12,13958.0,7.119940144644314,2.0,1.0,1.0
7346,16988.0,Sore Ike! Anpanman: Anpanman to Christmas no Hoshi,,Special,Original,"Comedy, Fantasy, Kids",1.0,5.84,32.0,5.853469063332989,0.0,0.0,0.0
7347,16994.0,Mandalaya no Ryouta: Kukidani Onsen Enshou Soudou Tan,,OVA,Manga,"Ecchi, Comedy, Seinen",2.0,4.93,29.0,4.975149302999621,0.0,0.0,0.0
7348,17002.0,Choujuu Kishin Dancougar: Juusenki-tai Songs,,OVA,Original,"Action, Sci-Fi, Mecha",1.0,5.81,48.0,5.819683246734462,0.0,0.0,0.0
7349,17004.0,Sore Ike! Anpanman: Franken-Robo-kun's Surprised Christmas,,Special,Original,"Comedy, Fantasy, Kids, Super Power",1.0,6.22,23.0,6.2226866287495275,0.0,0.0,0.0
7350,17006.0,Sore Ike! Anpanman: Sing! Dance! Everybody's Christmas,,Special,Original,"Comedy, Fantasy, Kids, Super Power",1.0,5.45,22.0,5.486281699564724,0.0,0.0,0.0
7351,17010.0,Yasashii March: The Tender March,,Music,Original,Music,1.0,6.45,746.0,6.449778419129838,0.0,0.0,0.0
7352,17012.0,Koukai Benjo The Animation,,OVA,Manga,"Drama, Hentai, Psychological, School",2.0,6.2,1251.0,6.200067475311493,0.0,0.0,0.0
7353,17020.0,D.C.III: Da Capo III Special,,Special,Original,"Romance, Music, School, Drama",1.0,6.45,1341.0,6.4498766610208556,0.0,0.0,0.0
7354,17048.0,Choujin Locke Special,,Special,Manga,"Action, Sci-Fi, Super Power",1.0,5.28,108.0,5.28921540449531,0.0,0.0,0.0
7355,17068.0,Transfer,,Music,Original,"Action, Music",1.0,6.28,821.0,6.280005449014585,0.0,0.0,0.0
7356,17074.0,Monogatari Series: Second Season,Monogatari Series: Second Season,TV,Light novel,"Mystery, Comedy, Supernatural, Romance, Vampire",26.0,8.77,181843.0,8.769986331575911,999.0,112.0,887.0
7357,17076.0,Chagama Ondo,,Movie,Original,"Comedy, Supernatural",1.0,4.89,293.0,4.894743126156424,0.0,0.0,0.0
7358,17080.0,Soukyuu no Fafner: Dead Aggressor - Exodus,,TV,Original,"Action, Drama, Mecha, Military, Sci-Fi",13.0,7.44,4977.0,7.439767874465647,5.0,1.0,4.0
7359,17082.0,Aiura,Aiura,TV,4-koma manga,"Comedy, School, Shounen, Slice of Life",12.0,6.76,27312.0,6.759982589942151,11.0,2.0,9.0
